work_id;performance_id;bin;artist;title;language
10906;130151;2;Barbara Cook and Robert Preston;Till There Was You;English
4751;4751;2;Jerry Orbach and Jill O'Hara;I'll Never Fall in Love Again;English
114712;213106;2;Margaret Whiting;The End of a Love Affair;English
2930;2930;2;The Beatles;Strawberry Fields Forever;English
67609;67609;2;Ben Bernie and His Hotel Roosevelt Orchestra;Sweet Georgia Brown;English
69914;69914;2;Swing and Sway with Sammy Kaye;Blueberry Hill;English
6093;6093;2;The Beatles;Here, There and Everywhere;English
111906;113949;2;Abe Lyman and His California Orchestra - Vocal Chorus by Gracie Barrie;I Cover the Waterfront;English
26;26;2;a-ha;Take on Me;English
115054;135628;2;Harry Simeone Chorale;Do You Hear What I Hear?;English
2085;2085;2;The Rolling Stones;Wild Horses;English
4814;4814;2;Marcy Westcott and Richard Kollmar;I Didn't Know What Time It Was;English
10931;10931;2;Michael Jackson;Black or White;English
9703;9703;2;Tommy Dorsey and His Orchestra - Vocal Refrain by Male Quartet;Once in a While;English
272;272;2;Dusty Springfield;Son-of-a Preacher Man;English
33213;33213;2;Jane Powell;Too Late Now;English
13687;126372;2;Ethel Waters with Duke Ellington & His Orchestra;Stormy Weather (Keeps Rainin' All the Time);English
36064;186738;2;Majestic Dance Orchestra - Vocal Chorus by Helen Rowland;Love Letters in the Sand;English
6210;122902;2;Mary Martin, Patricia Neway;My Favorite Things;English
5552;505372;2;Glenn Miller and His Orchestra - Vocal Refrain by Ray Eberle;At Last;English
462;462;2;Barry McGuire;California Dreamin';English
133525;277113;2;P!nk featuring Nate Ruess;Just Give Me a Reason;English
20110;20110;2;Ethel Merman & Bob Hope;It's De-Lovely;English
9276;9276;2;The Police;Roxanne;English
22936;22936;2;Sterling Holloway & Bobbie Perkins;Mountain Greenery;English
154901;468201;2;Lukas Graham;7 Years;English
4726;4726;2;Kansas;Dust in the Wind;English
115814;141269;2;Lady Gaga;Bad Romance;English
7264;7264;2;Stevie Wonder;I Just Called to Say I Love You;English
6602;6602;2;Metallica;The Unforgiven;English
108692;108692;2;Tommy Dorsey and His Orchestra - Vocal Refrain by Frank Sinatra and The Pied Pipers;This Love of Mine;English
580;580;2;Chuck Berry;Johnny B. Goode;English
29130;29130;2;Bob Wills and His Texas Playboys;Faded Love;English
27164;184048;2;Alfred Drake & Joan Roberts;People Will Say We're in Love;English
34728;154038;3;Giovanni Ambrosini, Maria Cappiello;Torna a Surriento;Italian
50523;50523;3;Dick Gautier, Susan Watson and Teenagers;A Lot of Livin' to Do;English
19748;19748;3;Percy Mayfield;Please Send Me Someone to Love;English
47901;47901;3;Matt Monro;Born Free;English
9132;9132;3;Bob Shane;Honey;English
5687;267873;3;Carmen Twillie;Nants' Ingonyama - Circle of Life;English
153900;461331;3;John Yorke Atlee;Home Sweet Home;English
9671;9671;3;Benny Goodman and His Orchestra;Good-Bye;English
882;882;3;The Shirelles;Will You Love Me Tomorrow;English
55442;176059;3;Burl Ives;Busted;English
200724;781972;3;Billy Murray;The Ballad of Casey Jones;English
9560;9560;3;The Weavers;The Hammer Song;English
140437;335479;3;MAGIC! [CA];Rude;English
3353;3353;3;Cilla Black;Alfie;English
74362;427883;3;Pedro Vargas con Orquesta;Granada;Spanish
2427;2427;3;The Beach Boys;God Only Knows;English
10129;290973;3;Pete Townshend;Behind Blue Eyes;English
14620;201618;3;Isaura Garcia;Meditação;Portuguese
25154;25154;3;Stevie Wonder;Isn't She Lovely?;English
1055;1055;3;Nancy Sinatra;You Only Live Twice;English
61207;61207;3;Dorsey Brothers' Orchestra - Vocal Chorus by Jean Bowes;(I'm Gettin') Sentimental over You;English
151781;434535;3;Adele;When We Were Young;English
83873;83873;3;Julie Andrews and Philippa Bevans;I Could Have Danced All Night;English
20049;20049;3;Fred Astaire & Rita Hayworth [dubbed by Nan Wynn];I'm Old Fashioned;English
9131;9131;3;Johnny Mathis with Ray Conniff and His Orchestra;When Sunny Gets Blue;English
6753;6753;3;Aerosmith;Walk This Way;English
88508;88508;3;Willie & Eugene Howard;Carolina in the Morning;English
13208;13208;3;Andrea Bocelli;Con te partirò;Italian
1282;644348;3;Bob Dylan;Mr. Tambourine Man;English
4687;4687;3;Gertrude Lawrence;Someone to Watch over Me;English
994;994;3;Simon and Garfunkel;Mrs. Robinson;English
5534;5534;3;AC/DC;Highway to Hell;English
4922;4922;3;Billy Dee Williams;A Taste of Honey;English
75372;75372;3;Rudy Vallee & Everett Marshall;The Thrill Is Gone;English
5549;5549;3;Deep Purple;Smoke on the Water;English
97460;235091;3;Jimmy Dorsey and His Orchestra;I'm Glad There Is You;English
14861;126403;3;Trio Durango con guitarras;Quizás, quizás, quizás;Spanish
65049;352102;3;Harry James and His Orchestra;I'm Beginning to See the Light;English
841;841;3;Lori Lieberman;Killing Me Softly with His Song;English
7284;7284;3;Kathryn Crawford, June Shafer, Ida Pearson and Stella Friend;Love for Sale;English
5283;5283;3;Gene Krupa & His Orchestra;Skylark;English
64372;64373;3;"Artie Shaw and His Orchestra - Vocal Refrain and trumpet by ""Hot Lips"" Page";Blues in the Night;English
76174;76174;3;Stan Getz;The Look of Love;English
48320;322410;3;Dinah Shore;Whatever Lola Wants;English
122499;194419;3;Ona Munson and Jack Whiting;You're the Cream in My Coffee;English
4779;4779;3;Skeeter Davis;The End of the World;English
9199;9199;3;Glen Campbell;Wichita Lineman;English
9004;9004;3;The Delfonics;La-La-Means I Love You;English
35188;35188;3;Norman Wisdom;Who Can I Turn To (When Nobody Needs Me)?;English
5917;5917;3;John Lennon;Imagine;English
4646;4646;3;Ruby and The Romantics;Our Day Will Come;English
34907;34907;3;Billie Holiday;Good Morning Heartache;English
5697;5697;3;Angela Lansbury;Beauty and the Beast;English
39786;355307;3;Harry James and His Orchestra - Vocal Chorus Connie Haines;Comes Love;English
5396;5396;3;Michael Jackson;Thriller;English
106883;256985;3;Debbie Reynolds;(Love Is) The Tender Trap;English
135726;298121;3;Bob Crosby and His Orchestra - Vocal Chorus by Marion Mann;Deep in a Dream;English
246;246;3;The Monkees;I'm a Believer;English
8937;8937;3;The Beatles;Penny Lane;English
56366;776378;3;Adriana Caselotti;Someday My Prince Will Come;English
117883;156236;3;Dolores Valesco;I Can't Believe That You're in Love with Me;English
13216;13216;3;Jim Croce;Time in a Bottle;English
10902;230601;3;Little Jack Little and His Orchestra;I'm in the Mood for Love;English
31383;31383;3;The Vibrations;My Girl Sloopy;English
99751;99751;3;Joseph Williams & Sally Dworsky;Can You Feel the Love Tonight?;English
124745;432188;3;Mike Doty and His Orchestra - Vocal Refrain by Ward Silloway;You're My Thrill;English
25621;292133;3;Vaughn Monroe and His Orchestra;That Lucky Old Sun;English
124809;767500;3;Bing Crosby with The Andrews Sisters & Vic Schoen and His Orchestra;The Twelve Days of Christmas;English
13698;13698;3;Les Brown and His Orchestra - Vocal Chorus by Doris Day;Sentimental Journey;English
30209;30209;3;Stevie Wonder;All in Love Is Fair;English
10717;10717;3;James Taylor;Don't Let Me Be Lonely Tonight;English
5388;5388;3;Van Morrison;Brown Eyed Girl;English
19945;19945;3;Ethel Merman;Anything Goes;English
14238;14238;3;Ray Charles;What'd I Say;English
14599;292690;3;Paul Whiteman and His Orchestra - Vocal Refrain by Mildred Bailey;All of Me;English
65609;65609;3;Lillian Shade;I Gotta Right to Sing the Blues;English
76498;76498;3;J. Harold Murray;Autumn in New York;English
22053;22053;3;Radiohead;Karma Police;English
6216;6216;3;Brenda Holloway;You've Made Me So Very Happy;English
9263;350160;3;Jo Stafford with Paul Weston and His Orchestra;It Could Happen to You;English
22965;22965;3;Gene Kelly & Leila Ernst;I Could Write a Book;English
22926;22926;3;Mitzi Green;The Lady Is a Tramp;English
69970;69970;3;Bruno Martino;Odio l'estate;Italian
10685;10685;3;The Beatles;She Loves You;English
52227;52227;3;The MGM Studio Orchestra;Invitation;English
120968;294567;3;A.Z. Idelsohn;Hava nagila;Hebrew
731;731;3;Eric Carmen;All by Myself;English
15521;15521;3;Chicago;If You Leave Me Now;English
93655;93655;3;"Nick Lucas ""The Crooning Troubadour""";I'll Get By (As Long as I Have You);English
1130;1130;3;The Beatles;When I'm Sixty-Four;English
7261;7261;3;Carpenters;Yesterday Once More;English
954;954;3;David Bowie;Heroes;English
4354;4354;3;Otis Redding;Respect;English
52177;52177;3;Duke Ellington and His Famous Orchestra;"Take the ""A"" Train";English
11833;410545;3;Harold Arlen with Orchestral Acc. Dir. by Ray Sinatra;Let's Fall in Love;English
121504;812611;3;The Suntones;Jean;English
11898;11898;3;Dionne Warwick;I Say a Little Prayer;English
10838;10838;4;The King Cole Trio;(Get Your Kicks On) Route 66;English
123840;207585;4;Dick Haymes with Orchestra under direction of Victor Young;I Wish I Knew;English
19943;19943;4;Ruth Etting;Get Happy;English
7253;7253;4;Frances Williams;As Time Goes By;English
64395;898686;4;Kay Kyser and His Orchestra - Vocal Chorus by Harry Babbitt and The Campus Kids;What Are You Doing New Year's Eve;English
6394;6394;4;Louis Armstrong;What a Wonderful World;English
15519;116835;4;Chad and Jeremy;Homeward Bound;English
2407;2407;4;David Bowie;Let's Dance;English
2970;2970;4;Four Tops;Reach Out I'll Be There;English
17053;17053;4;Coldplay;Yellow;English
42338;42338;4;Nat King Cole;Unforgettable;English
6784;6784;4;Don McLean;Vincent;English
10907;187655;4;Ozzie Nelson and His Orchestra;Dream a Little Dream of Me;English
13873;438900;4;Kurt Weill;Speak Low;English
7213;7213;4;Marilyn Miller and Leon Errol;Look for the Silver Lining;English
71473;71473;4;Judy Campbell;A Nightingale Sang in Berkeley Square;English
399;399;4;Phil Collins;Against All Odds (Take a Look at Me Now);English
26839;26839;4;Vinicius de Moraes;Berimbau;Portuguese
121296;198432;4;Joanie Sommers with The Bobby Troup Sextet;Dear Heart;English
63854;63854;4;Alice Faye;You'll Never Know;English
52660;52660;4;Connie Stevens;Keep Growing Strong;English
25030;25030;4;The Beach Boys;Good Vibrations;English
8339;8339;4;Paul Simon;I Am a Rock;English
856;856;4;The Wailers;I Shot the Sheriff;English
12992;12992;4;Johnny Nash;I Can See Clearly Now;English
121182;180632;4;Libby Holman;Something to Remember You By;English
150625;419040;4;Elizete Cardoso;Modinha;Portuguese
5319;5319;4;Wings;Live and Let Die;English
704;704;4;Led Zeppelin;Stairway to Heaven;English
5363;5363;4;Roger Miller [US-OK];Little Green Apples;English
3552;3552;4;The Beatles;Do You Want to Know a Secret;English
4012;483767;4;Percy Mayfield;Hit the Road Jack;English
49809;72659;4;The Sunset Four Jubilee Singers;Wade in the Water;English
1924;1924;4;The Beatles;Because;English
14809;14809;4;Betty Comden, Nancy Walker, Adolph Green and Cris Alexander;Some Other Time;English
156542;481775;4;Calvin Harris // Rihanna;This Is What You Came For;English
64489;64489;4;Silvia Telles;Caminhos Cruzados;Portuguese
4833;4833;4;Nick Drake;River Man;English
9508;9508;4;The Beatles;Yellow Submarine;English
28094;28094;4;Juanita Hall;Bali Ha'i;English
4683;121822;4;Shep Fields and His Rippling Rhythm Orchestra;Nice Work if You Can Get It;English
10428;10428;4;Jackie deShannon;What the World Needs Now Is Love;English
114742;131927;4;Guy Lombardo's Royal Canadians;Stars Fell on Alabama;English
86795;86795;4;Ruth Etting;Love Me or Leave Me;English
1792;1792;4;Darrell Glenn;Crying in the Chapel;English
82200;286660;4;Hal Kemp and His Orchestra;Them There Eyes;English
424;424;4;The Beatles;Come Together;English
40199;40199;4;James Brown and The Famous Flames;Papa's Got a Brand New Bag;English
11817;11817;4;Nat King Cole with Orchestra conducted by Gordon Jenkins;This Is All I Ask;English
3211;3211;4;The Kinks;You Really Got Me;English
6870;6870;4;Jerry Orbach;Try to Remember;English
4887;4887;4;Tommy Dorsey and His Orchestra;Everything Happens to Me;English
4867;4867;4;Mayo Methot;More Than You Know;English
10141;210013;4;El Jarocho;La bamba;Spanish
55861;128902;4;Jo Stafford with Vocal Group and Paul Weston and His Orchestra;Scarlet Ribbons (For Her Hair);English
114810;132664;4;Henry Busse and His Orchestra - Vocal Refrain by Richard Barry;I'm Thru with Love;English
1795;187914;4;Charles Hart [US];Are You Lonesome To-Night?;English
124571;214466;4;Jacques Renard & His Orchestra;Heartaches;English
7776;7776;4;AC/DC;Back in Black;English
77841;77841;4;Roy Fox and His Orchestra;Harbour Lights;English
10603;10603;4;Gilbert O'Sullivan;Alone Again (Naturally);English
2158;2158;4;Julie London;Cry Me a River;English
1347;1347;4;Bing Crosby - Grace Kelly;True Love;English
2768;2768;4;The Beatles;Eleanor Rigby;English
9665;9665;4;The Jungle Band;Mood Indigo;English
23770;23770;4;Adele Astaire & Allen Kearns;'S Wonderful;English
115251;137372;4;Bing Crosby with Pete King and His Orchestra;The Second Time Around;English
20162;20162;4;Fred Astaire, Adele Astaire & Cliff Edwards;Fascinating Rhythm;English
195566;744091;4;"""Fats"" Waller and His Rhythm";Louisiana Fairy Tale;English
65381;65381;4;Aida Ward;Between the Devil and the Deep Blue Sea;English
10848;232485;4;Dorothy Dickson;These Foolish Things (Remind Me of You);English
62782;284158;4;Agostinho dos Santos;O Amor em Paz;Portuguese
23627;23627;4;Carpenters;Rainy Days and Mondays;English
23772;242624;4;Woody Herman and His Orchestra;I'll Remember April;English
8673;8673;4;Radiohead;Creep;English
10216;10216;4;McKinney's Cotton Pickers - Vocal Refrain by Donald Redman;Gee, Ain't I Good to You;English
30246;30246;4;Larry Kert, Reri Grist & Carol Lawrence;Somewhere;English
4704;4704;4;Ethel Merman;I Got Rhythm;English
34791;34791;4;Tony Joe White;Rainy Night in Georgia;English
233;389583;4;B.J. Thomas;Always on My Mind;English
117791;155621;4;Arthur Collins;Bill Bailey, Won't You Please Come Home?;English
575;575;4;Chuck Berry;Memphis, Tennessee;English
1017;1017;4;Stevie Wonder;I Wish;English
4865;4865;4;Dolores Gray;Here's That Rainy Day;English
5958;5958;4;The Beatles;She's Leaving Home;English
3497;126951;4;Frankie Valli;Can't Take My Eyes off You;English
4816;4816;4;Frank Sinatra;I Fall in Love Too Easily;English
119158;164729;4;Irving Abrams & His Orchestra;The Birth of the Blues;English
123334;246773;4;Harrod's Jubilee Singers;Joshua Fit the Battle of Jericho;English
5915;5915;4;Gloria Grafton;Little Girl Blue;English
401;401;4;Bob Dylan;All Along the Watchtower;English
132686;271210;4;Lew Stone and His Band - Vocal Chorus by Nat Gonella;Isle of Capri;English
7032;7032;4;Roger Whittaker;The Wind Beneath My Wings;English
117450;152589;4;Larry Clinton and His Orchestra - Vocal Refrain by Bea Wain;Heart and Soul;English
21352;21352;4;Dee Dee Warwick;I'm Gonna Make You Love Me;English
3063;3063;4;Bill Withers;Ain't No Sunshine;English
1443;1443;4;Noel Harrison;The Windmills of Your Mind;English
343;343;4;Marianne Faithfull;As Tears Go By;English
24473;24473;5;Don Gibson;Oh Lonesome Me;English
73656;73656;5;Dick Van Dyke, Julie Andrews, Karen Dotrice, Matthew Garber;Chim Chim Cheree;English
656;656;5;The Police;Every Breath You Take;English
12795;12795;5;Gertrude Lawrence;My Ship;English
53040;53040;5;Russ Columbo;Prisoner of Love;English
30326;30326;5;Soundgarden;Black Hole Sun;English
10790;10790;5;The Beatles;I Saw Her Standing There;English
64650;222898;5;Agostinho dos Santos;A Felicidade;Portuguese
21817;21817;5;Felicia Sanders;Fly Me to the Moon (In Other Words);English
11841;11841;5;The Temptations [US1];Just My Imagination (Running Away with Me);English
1108;1108;5;Leonard Cohen;Hallelujah;English
38171;538915;5;Maxine Sullivan, Louis Armstrong, Bill Bailey,  The Dandridge Sisters, The Rhythmettes and The Deep River Boys;Darn That Dream;English
1376;1376;5;Roger Miller [US-OK];King of the Road;English
63101;63101;5;Claire Carleton;If You Believed in Me [It's Only a Paper Moon];English
22235;22235;5;Sebastián Yradier;La paloma;Spanish
9376;9376;5;Katherine Clark;Poor Butterfly;English
121360;182220;5;Anita O'Day - Orchestra conducted by Larry Russell;Vaya con Dios;English
18;18;5;Led Zeppelin;Kashmir;English
11485;11485;5;Neil Diamond;Sweet Caroline;English
143052;354918;5;Fred Hamm and His Orchestra;Bye Bye Blues;English
41946;363252;5;Louis Armstrong and His Orchestra;When It's Sleepy Time Down South;English
32595;32595;5;Burl Ives;Riders in the Sky;English
2974;2974;5;Sam & Dave;Hold On! I'm a Comin';English
22581;22581;5;Paul McCartney;Maybe I'm Amazed;English
62475;62475;5;Massive Attack featuring Elizabeth Fraser;Teardrop;English
97414;97414;5;Hall & Oates;Sara Smile;English
112097;115533;5;Walter Woolf King;Don't Blame Me;English
20610;817657;5;Roger Nichols and Paul Williams;We've Only Just Begun;English
51795;51795;5;Anthony Newley;What Kind of Fool Am I?;English
932;28563;5;Jacques Brel;Ne me quitte pas;French
98152;98152;5;Alfred Drake, Joan Roberts & Betty Garde;The Surrey with the Fringe on Top;English
9719;9719;5;Jorge Ben, Copa 5;Mas Que Nada;Portuguese
20960;20960;5;Classics IV;Stormy;English
7550;7550;5;The Moody Blues with The London Festival Orchestra conducted by Peter Knight;Nights in White Satin;English
